indicador,ano,caminho_local,nome_local,nome_original,tipo,finalidade,dicionario_associado,url_oficial,url_historica_download,edicao_fonte,anos_disponiveis,observacao,sha256
Rendimento Escolar,2020,data/raw/rendimento/tx_rend_brasil_regioes_ufs_2020.xlsx,tx_rend_brasil_regioes_ufs_2020.xlsx,não registrado no repositório,dado analítico,taxas oficiais por UF; fonte da série analítica,não utilizado,https://www.gov.br/inep/pt-br/acesso-a-informacao/dados-abertos/indicadores-educacionais/taxas-de-rendimento-escolar,,,,,ee0be9c957d6b37d092eb0f7fa9576011214e06d292c446ae2b659c9fc2e03be
Rendimento Escolar,2021,data/raw/rendimento/tx_rend_brasil_regioes_ufs_2021.xlsx,tx_rend_brasil_regioes_ufs_2021.xlsx,não registrado no repositório,dado analítico,taxas oficiais por UF; fonte da série analítica,não utilizado,https://www.gov.br/inep/pt-br/acesso-a-informacao/dados-abertos/indicadores-educacionais/taxas-de-rendimento-escolar,,,,,e70ed7836c11029e843f66ccb0a97bcf0e131f9feab62f8d8fb54efdf48e5c86
Rendimento Escolar,2022,data/raw/rendimento/tx_rend_brasil_regioes_ufs_2022.xlsx,tx_rend_brasil_regioes_ufs_2022.xlsx,não registrado no repositório,dado analítico,taxas oficiais por UF; fonte da série analítica,não utilizado,https://www.gov.br/inep/pt-br/acesso-a-informacao/dados-abertos/indicadores-educacionais/taxas-de-rendimento-escolar,,,,,65ad47093ae41ea234f60ac658084d8c2843ed6d33d6af6f1ad8c5125c1dac12
Rendimento Escolar,2023,data/raw/rendimento/tx_rend_brasil_regioes_ufs_2023.xlsx,tx_rend_brasil_regioes_ufs_2023.xlsx,não registrado no repositório,dado analítico,taxas oficiais por UF; fonte da série analítica,não utilizado,https://www.gov.br/inep/pt-br/acesso-a-informacao/dados-abertos/indicadores-educacionais/taxas-de-rendimento-escolar,,,,,02a11e9f44d1a819d1f00496de0905d324d4fbe706cb872be2c3e0bdab2f935c
SAEB,2007,data/raw/saeb/Dicionario_SAEB_2007.xlsx,Dicionario_SAEB_2007.xlsx,não registrado no repositório,dicionário,interpretação de códigos e estrutura da fonte,não se aplica,https://www.gov.br/inep/pt-br/acesso-a-informacao/dados-abertos/microdados/saeb,,,,,f7742aeba395dc4d8d0b8af68802b98bc532c12010767322cea25e8bf971ed4f
SAEB,2007,data/raw/saeb/MEDIA_UF_2007.xlsx,MEDIA_UF_2007.xlsx,não registrado no repositório,resultado agregado,resultado agregado oficial por UF; fonte da série analítica,Dicionario_SAEB_2007.xlsx,https://www.gov.br/inep/pt-br/areas-de-atuacao/avaliacao-e-exames-educacionais/saeb/resultados,,,,,f90b8c89973c586d7adb88bcb01130017accb540bbc3edc5ce4739c5c1603667
SAEB,2007,data/raw/saeb/TS_ESCOLA_2007.csv,TS_ESCOLA_2007.csv,não registrado no repositório,arquivo de auditoria,microdados escolares preservados; não usados na Silver final,Dicionario_SAEB_2007.xlsx,https://www.gov.br/inep/pt-br/acesso-a-informacao/dados-abertos/microdados/saeb,,,,,87662e15db3e2d3923ad7aac7861b27a22eca2600f6bd5fea70ffebaa3f1fca6
SAEB,2009,data/raw/saeb/Dicionario_SAEB_2009.xlsx,Dicionario_SAEB_2009.xlsx,não registrado no repositório,dicionário,interpretação de códigos e estrutura da fonte,não se aplica,https://www.gov.br/inep/pt-br/acesso-a-informacao/dados-abertos/microdados/saeb,,,,,e0adb71c72a70dba6580838c065fbdb6f1c589ca00f9e98df18a98f84773fadd
SAEB,2009,data/raw/saeb/MEDIA_UF_2009.xlsx,MEDIA_UF_2009.xlsx,não registrado no repositório,resultado agregado,resultado agregado oficial por UF; fonte da série analítica,Dicionario_SAEB_2009.xlsx,https://www.gov.br/inep/pt-br/areas-de-atuacao/avaliacao-e-exames-educacionais/saeb/resultados,,,,,052bf375d052f200ffb932f668ffebb0faae68dca66156bb6d3063a08e8e5f6b
SAEB,2009,data/raw/saeb/TS_ESCOLA_2009.csv,TS_ESCOLA_2009.csv,não registrado no repositório,arquivo de auditoria,microdados escolares preservados; não usados na Silver final,Dicionario_SAEB_2009.xlsx,https://www.gov.br/inep/pt-br/acesso-a-informacao/dados-abertos/microdados/saeb,,,,,ec9a7a2e4fd83d083600e84f7e1a423cccf1354bc992d45a0abca0a59f81d61b
SAEB,2011,data/raw/saeb/Dicionario_SAEB_2011.xlsx,Dicionario_SAEB_2011.xlsx,não registrado no repositório,dicionário,interpretação de códigos e estrutura da fonte,não se aplica,https://www.gov.br/inep/pt-br/acesso-a-informacao/dados-abertos/microdados/saeb,,,,,97efd073fa069c08e9301092c4691aa35f00717f8cc67672960128b52c073fd2
SAEB,2011,data/raw/saeb/TS_RESULTADO_UF_2011.csv,TS_RESULTADO_UF_2011.csv,não registrado no repositório,resultado agregado,resultado agregado oficial por UF; fonte da série analítica,Dicionario_SAEB_2011.xlsx,https://www.gov.br/inep/pt-br/areas-de-atuacao/avaliacao-e-exames-educacionais/saeb/resultados,,,,,2e4b8e15279d645b4d19ea1acc5473fc73d968c69d54bbb9715e59f2d84fa8a7
SAEB,2013,data/raw/saeb/TS_UF_2013.xlsx,TS_UF_2013.xlsx,não registrado no repositório,resultado agregado,resultado agregado oficial por UF; fonte da série analítica,não utilizado,https://www.gov.br/inep/pt-br/areas-de-atuacao/avaliacao-e-exames-educacionais/saeb/resultados,,,,,42e3efe1a614dcb891c29681063b8f0d1a8336ef1477bde26663771b956fc8ca
